BBLCOUNT        1.0         0
0x7fff81e00614 1 4 18
0x7fff81e005eb 1 6 41
0x7fff81e005d9 1 4 18
0x7fff81e005b0 1 6 41
0x7fff81e0059e 1 4 18
0x7fff81e00575 1 6 41
0x7fff81e00563 1 4 18
0x7fff81e0053a 1 6 41
0x7fff81e00528 1 4 18
0x7fff81e004ff 1 6 41
0x7fff81e004ed 1 4 18
0x7fff81e004c4 1 6 41
0x7fff81e004b2 1 4 18
0x7fff81e00489 1 6 41
0x7fff8be9a0b3 2 4 22
0x7fff8be9a0af 2 2 4
0x7fff8be9a09a 2 7 21
0x7fff81e2e532 2 1 6
0x7fff81e011ec 1 5 33
0x7fff81e007ef 1 6 9
0x7fff81e007dd 1 4 18
0x7fff81e007b4 1 6 41
0x7fff81e007a2 1 4 18
0x7fff81e00779 1 6 41
0x7fff81e00767 1 4 18
0x7fff81e00733 1 7 52
0x7fff81e00721 1 4 18
0x7fff81e006ed 1 7 52
0x7fff81e006db 1 4 18
0x7fff81e006a7 1 8 52
0x7fff81e00695 1 4 18
0x7fff81e0021b 1 6 48
0x7fff81e00209 1 4 18
0x7fff81e001e4 1 5 37
0x7fff81e001d2 1 4 18
0x7fff81e001ad 1 5 37
0x7fff81e0019b 1 4 18
0x7fff81e0015d 1 9 62
0x7fff81e0014b 1 4 18
0x7fff8e5fe7a3 31 1 5
0x7fff8e5fe79d 31 3 6
0x7fff8e5fe788 31 6 21
0x7fff8e5fe77a 0 5 14
0x7fff8e5fe770 0 2 10
0x7fff8e5fe74a 31 11 38
0x7fff8e5fe715 31 11 48
0x7fff8e5fed58 31 7 11
0x7fff81e00122 1 6 41
0x7fff81e00477 1 4 18
0x7fff81e0044e 1 6 41
0x7fff81e0043c 1 4 18
0x7fff81e00413 1 6 41
